match_id,date,season,team1,team2,venue,t1_overall_wr,t2_overall_wr,t1_recent_wr,t2_recent_wr,t1_form5,t2_form5,h2h_t1_wr,t1_venue_wr,t2_venue_wr,toss_winner_is_t1,t1_elo,t2_elo,elo_diff,elo_win_prob_t1,temp_avg,precipitation,windspeed,humidity_evening,dewpoint_evening,rain_risk,dew_risk,flatness_index,pace_score,spin_score,dew_factor,pitch_flat,pitch_spin,pitch_pace,pitch_balanced,team1_won
1082591,2017-04-05,2017,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal",0.5409836065573771,0.5111111111111111,0.7,0.7,0.6,0.8,0.5,0.5909090909090909,0.3333333333333333,0,1586.26,1563.42,22.84,0.5328,30.4,1.5,14.4,41.4,17.1,1,0,0.9475,0.811,0.143,0.1152,0,0,0,1,1
1082592,2017-04-06,2017,Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium,0.3571428571428571,0.5714285714285714,0.4,0.6,0.4,0.4,0.5,0.0,1.0,1,1470.36,1575.17,-104.81,0.3536,28.35,0.0,19.7,30.6,12.3,0,0,0.9956,0.867,0.1754,0.0367,0,0,0,1,1
1082593,2017-04-07,2017,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,0.5625,0.5230769230769231,0.4,0.4,0.4,0.4,1.0,0.4,0.5,0,1523.03,1547.39,-24.37,0.465,27.55,0.0,17.4,12.0,-1.3,0,0,1.0365,0.8962,0.1881,0.1357,0,1,0,0,0
1082594,2017-04-08,2017,Punjab Kings,Rising Pune Supergiants,Holkar Cricket Stadium,0.4621212121212121,0.4,0.3,0.4,0.2,0.4,0.5,1.0,0.5,1,1416.07,1491.05,-74.97,0.3938,27.1,0.0,14.7,9.4,-3.9,0,0,0.9975,0.8429,0.134,0.3368,0,0,0,1,1
1082595,2017-04-08,2017,Royal Challengers Bengaluru,Delhi Capitals,M.Chinnaswamy Stadium,0.5073529411764706,0.4307692307692308,0.7,0.4,0.8,0.4,0.6,0.5,0.5,1,1548.47,1449.96,98.51,0.6381,28.05,0.3,15.0,32.6,12.7,0,0,1.0684,0.9284,0.1464,0.0362,0,0,0,1,1
1082596,2017-04-09,2017,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",0.5483870967741935,0.5294117647058824,0.7,0.4,0.6,0.4,1.0,0.6086956521739131,0.0,1,1601.21,1508.15,93.06,0.6308,31.5,0.0,10.0,27.4,12.6,0,0,0.9475,0.811,0.143,0.1152,0,0,0,1,1
1082597,2017-04-09,2017,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,0.5673758865248227,0.5267175572519084,0.6,0.4,0.4,0.4,0.7222222222222222,0.6444444444444445,0.1666666666666666,1,1554.48,1562.27,-7.79,0.4888,29.35,0.0,21.4,47.8,18.4,0,0,1.0016,0.8456,0.1532,0.0589,0,0,0,1,1
1082598,2017-04-10,2017,Punjab Kings,Royal Challengers Bengaluru,Holkar Cricket Stadium,0.4661654135338345,0.5109489051094891,0.3,0.7,0.2,0.8,0.5555555555555556,1.0,0.5,0,1435.47,1560.05,-124.58,0.328,28.7,0.0,20.4,7.8,-6.2,0,0,0.9975,0.8429,0.134,0.3368,0,0,0,1,1
1082599,2017-04-11,2017,Rising Pune Supergiants,Delhi Capitals,Maharashtra Cricket Association Stadium,0.375,0.4274809160305343,0.4,0.4,0.4,0.4,1.0,0.2,1.0,1,1471.65,1438.38,33.27,0.5477,31.55,0.0,14.4,14.2,2.6,0,0,0.9956,0.867,0.1754,0.0367,0,0,0,1,0
1082600,2017-04-12,2017,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,0.5704225352112676,0.5555555555555556,0.6,0.7,0.4,0.6,0.5,0.6521739130434783,0.0,1,1570.84,1613.02,-42.18,0.4396,29.0,0.0,19.6,64.2,22.8,0,0,1.0016,0.8456,0.1532,0.0589,0,0,0,1,1
1082601,2017-04-13,2017,Kolkata Knight Riders,Punjab Kings,Eden Gardens,0.5227272727272727,0.4701492537313433,0.4,0.3,0.4,0.2,0.6842105263157895,0.6470588235294118,0.25,1,1545.92,1456.98,88.94,0.6253,29.95,0.0,20.4,50.6,19.4,0,0,0.9604,0.8448,0.1548,0.0398,0,0,0,1,1
1082602,2017-04-14,2017,Royal Challengers Bengaluru,Mumbai Indians,M Chinnaswamy Stadium,0.5072463768115942,0.5734265734265734,0.7,0.6,0.8,0.4,0.4210526315789473,0.5283018867924528,0.75,0,1538.55,1588.77,-50.23,0.4282,28.05,0.0,20.3,17.2,3.3,0,0,1.0684,0.9284,0.1464,0.0362,0,0,0,1,0
1082603,2017-04-14,2017,Gujarat Lions,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,0.5,0.3529411764705882,0.4,0.4,0.4,0.4,1.0,0.3333333333333333,0.0,1,1496.33,1454.12,42.21,0.5605,32.6,0.0,20.0,7.0,-3.1,0,0,1.0365,0.8962,0.1881,0.1357,0,1,0,0,1
1082604,2017-04-15,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,0.5263157894736842,0.546875,0.4,0.7,0.4,0.6,0.6666666666666666,0.6538461538461539,0.0,0,1557.91,1595.09,-37.18,0.4467,29.35,0.5,28.0,56.6,20.3,0,0,0.9604,0.8448,0.1548,0.0398,0,0,0,1,1
1082605,2017-04-15,2017,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,0.4318181818181818,0.4666666666666667,0.4,0.3,0.4,0.2,0.4444444444444444,0.3958333333333333,0.5,1,1455.91,1444.99,10.92,0.5157,31.0,0.0,18.8,14.8,5.0,0,0,0.9597,0.8624,0.151,0.0363,0,0,0,1,1
1082606,2017-04-16,2017,Mumbai Indians,Gujarat Lions,Wankhede Stadium,0.5763888888888888,0.5263157894736842,0.6,0.4,0.4,0.4,0.0,0.6595744680851063,1.0,1,1602.48,1510.4,92.08,0.6295,29.65,0.0,24.4,52.0,19.2,0,0,1.0016,0.8456,0.1532,0.0589,0,0,0,1,1
1082607,2017-04-16,2017,Royal Challengers Bengaluru,Rising Pune Supergiants,M Chinnaswamy Stadium,0.5035971223021583,0.3333333333333333,0.7,0.4,0.8,0.4,1.0,0.5185185185185185,0.0,1,1524.84,1440.05,84.79,0.6197,27.75,0.0,16.5,27.0,10.5,0,0,1.0684,0.9284,0.1464,0.0362,0,0,0,1,0
1082608,2017-04-17,2017,Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,0.4360902255639097,0.5298507462686567,0.4,0.4,0.4,0.4,0.4117647058823529,0.4081632653061224,0.5714285714285714,1,1471.4,1575.61,-104.21,0.3544,32.55,0.0,16.0,23.2,12.2,0,0,0.9597,0.8624,0.151,0.0363,0,0,0,1,0
1082609,2017-04-17,2017,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",0.5384615384615384,0.4632352941176471,0.7,0.3,0.6,0.2,0.75,0.625,0.5714285714285714,0,1577.38,1429.49,147.89,0.7008,33.0,0.0,17.7,15.2,4.7,0,0,0.9475,0.811,0.143,0.1152,0,0,0,1,1
1082610,2017-04-18,2017,Gujarat Lions,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,0.5,0.5,0.4,0.7,0.4,0.8,0.3333333333333333,0.4285714285714285,0.0,1,1498.54,1505.01,-6.47,0.4907,30.7,0.0,27.0,17.2,6.1,0,0,1.0365,0.8962,0.1881,0.1357,0,1,0,0,0
1082611,2017-04-19,2017,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",0.5454545454545454,0.4328358208955223,0.7,0.4,0.6,0.4,0.625,0.64,0.8,1,1586.95,1460.06,126.89,0.6749,31.1,0.0,13.4,20.4,9.0,0,0,0.9475,0.811,0.143,0.1152,0,0,0,1,1
1082612,2017-04-20,2017,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium,0.4598540145985401,0.5793103448275863,0.3,0.6,0.2,0.4,0.5,1.0,0.5,0,1419.92,1614.33,-194.42,0.2462,32.3,0.0,30.0,16.0,6.1,0,0,0.9975,0.8429,0.134,0.3368,0,0,0,1,0
1082613,2017-04-21,2017,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,0.5333333333333333,0.4761904761904761,0.4,0.4,0.4,0.4,0.3333333333333333,0.660377358490566,1.0,0,1586.95,1482.84,104.11,0.6455,31.3,5.2,28.5,72.0,25.2,1,1,0.9604,0.8448,0.1548,0.0398,0,0,0,1,0
1082614,2017-04-22,2017,Mumbai Indians,Delhi Capitals,Wankhede Stadium,0.5821917808219178,0.4296296296296296,0.6,0.4,0.4,0.4,0.5,0.6666666666666666,0.1666666666666666,0,1622.21,1449.66,172.55,0.7297,28.45,0.0,16.3,70.2,23.2,0,1,1.0016,0.8456,0.1532,0.0589,0,0,0,1,1
1082615,2017-04-22,2017,Rising Pune Supergiants,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,0.3684210526315789,0.5522388059701493,0.4,0.7,0.4,0.6,0.5,0.1666666666666666,1.0,1,1459.88,1597.36,-137.47,0.3119,28.05,0.0,23.4,30.2,11.4,0,0,0.9956,0.867,0.1754,0.0367,0,0,0,1,1
1082616,2017-04-23,2017,Gujarat Lions,Punjab Kings,Saurashtra Cricket Association Stadium,0.5,0.4565217391304347,0.4,0.3,0.4,0.2,0.5,0.375,1.0,1,1503.5,1412.04,91.46,0.6287,30.6,0.0,22.2,24.4,10.4,0,0,1.0365,0.8962,0.1881,0.1357,0,1,0,0,0
1082617,2017-04-23,2017,Kolkata Knight Riders,Royal Challengers Bengaluru,Eden Gardens,0.5294117647058824,0.5035460992907801,0.4,0.7,0.4,0.8,0.5,0.6481481481481481,0.4285714285714285,0,1566.3,1520.72,45.58,0.5652,31.0,2.4,26.4,72.0,25.4,1,1,0.9604,0.8448,0.1548,0.0398,0,0,0,1,1
1082618,2017-04-24,2017,Mumbai Indians,Rising Pune Supergiants,Wankhede Stadium,0.5850340136054422,0.4,0.6,0.4,0.4,0.4,0.3333333333333333,0.673469387755102,1.0,1,1630.86,1481.9,148.96,0.7021,28.2,0.0,15.2,64.6,21.5,0,0,1.0016,0.8456,0.1532,0.0589,0,0,0,1,0
1082620,2017-04-26,2017,Rising Pune Supergiants,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,0.4285714285714285,0.5328467153284672,0.4,0.4,0.4,0.4,0.0,0.2857142857142857,1.0,0,1504.37,1580.21,-75.84,0.3926,28.15,0.0,19.1,27.4,10.4,0,0,0.9956,0.867,0.1754,0.0367,0,0,0,1,0
1082621,2017-04-27,2017,Royal Challengers Bengaluru,Gujarat Lions,M Chinnaswamy Stadium,0.5,0.4782608695652174,0.7,0.4,0.8,0.4,0.75,0.509090909090909,0.0,0,1506.8,1483.38,23.43,0.5337,27.4,0.5,11.6,39.4,14.9,0,0,1.0684,0.9284,0.1464,0.0362,0,0,0,1,0
1082622,2017-04-28,2017,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,0.5362318840579711,0.4264705882352941,0.4,0.4,0.4,0.4,0.6111111111111112,0.6545454545454545,0.1666666666666666,1,1592.77,1441.01,151.76,0.7055,32.35,3.5,17.8,72.0,23.9,1,1,0.9604,0.8448,0.1548,0.0398,0,0,0,1,1
1082623,2017-04-28,2017,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",0.460431654676259,0.5441176470588235,0.3,0.7,0.2,0.6,0.2222222222222222,0.2857142857142857,1.0,1,1432.16,1575.34,-143.18,0.3049,28.35,0.0,23.4,17.6,4.8,0,0,1.0074,0.8833,0.1308,0.1918,0,0,0,1,0
1082624,2017-04-29,2017,Rising Pune Supergiants,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,0.4090909090909091,0.4965034965034965,0.4,0.7,0.4,0.8,0.3333333333333333,0.25,1.0,0,1491.81,1489.73,2.08,0.503,29.3,0.0,21.0,23.4,8.4,0,0,0.9956,0.867,0.1754,0.0367,0,0,0,1,1
1082626,2017-04-30,2017,Punjab Kings,Delhi Capitals,"Punjab Cricket Association IS Bindra Stadium, Mohali",0.4571428571428571,0.4233576642335766,0.3,0.4,0.2,0.4,0.5263157894736842,0.25,0.0,1,1422.4,1431.59,-9.19,0.4868,27.35,1.8,21.3,31.8,10.3,1,0,1.0074,0.8833,0.1308,0.1918,0,0,0,1,1
1082627,2017-04-30,2017,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0.5507246376811594,0.539568345323741,0.7,0.4,0.6,0.4,0.3,0.6538461538461539,0.8,0,1585.09,1602.2,-17.1,0.4754,30.5,0.3,14.1,28.8,11.7,0,0,0.9475,0.811,0.143,0.1152,0,0,0,1,1
1082628,2017-05-01,2017,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,0.581081081081081,0.4930555555555556,0.6,0.7,0.4,0.8,0.6,0.66,0.4285714285714285,0,1608.39,1473.82,134.57,0.6845,28.45,0.0,28.1,73.4,23.5,0,1,1.0016,0.8456,0.1532,0.0589,0,0,0,1,1
1082629,2017-05-01,2017,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket Association Stadium,0.4347826086956521,0.5,0.4,0.4,0.4,0.4,0.0,0.3333333333333333,1.0,1,1507.71,1500.46,7.26,0.5104,28.7,0.0,24.5,34.4,12.4,0,0,0.9956,0.867,0.1754,0.0367,0,0,0,1,1
1082630,2017-05-02,2017,Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,0.4202898550724637,0.5571428571428572,0.4,0.7,0.4,0.6,0.3333333333333333,0.4,0.8,1,1415.16,1601.88,-186.72,0.2545,31.55,0.0,10.8,16.6,6.3,0,0,0.9597,0.8624,0.151,0.0363,0,0,0,1,1
