match_num,match_id,date,time_ist,team1,team2,home_team,away_team,venue,city,status,result,winner,toss_winner,toss_decision
1st T20I,2417,2026-03-28,19:30,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bengaluru,UpComing,,,,
2nd  T20I,2418,2026-03-29,19:30,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,UpComing,,,,
3rd  T20I,2419,2026-03-30,19:30,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,ACA Stadium,Guwahati,UpComing,,,,
4th  T20I,2420,2026-03-31,19:30,Punjab Kings,Gujarat Titans,Punjab Kings,Gujarat Titans,PCA Stadium,New Chandigarh,UpComing,,,,
5th  T20I,2421,2026-04-01,19:30,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,UpComing,,,,
6th  T20I,2422,2026-04-02,19:30,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,UpComing,,,,
7th  T20I,2423,2026-04-03,19:30,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,Chennai,UpComing,,,,
8th  T20I,2424,2026-04-04,15:30,Delhi Capitals,Mumbai Indians,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi,UpComing,,,,
9th  T20I,2425,2026-04-04,19:30,Gujarat Titans,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,UpComing,,,,
10th  T20I,2426,2026-04-05,15:30,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,Rajiv Gandhi International Stadium,Hyderabad,UpComing,,,,
11th  T20I,2427,2026-04-05,19:30,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,M Chinnaswamy Stadium,Bengaluru,UpComing,,,,
12th  T20I,2428,2026-04-06,19:30,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata,UpComing,,,,
13th  T20I,2429,2026-04-07,19:30,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,ACA Stadium,Guwahati,UpComing,,,,
14th  T20I,2430,2026-04-08,19:30,Delhi Capitals,Gujarat Titans,Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Delhi,UpComing,,,,
15th  T20I,2431,2026-04-09,19:30,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Kolkata,UpComing,,,,
16th  T20I,2432,2026-04-10,19:30,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,ACA Stadium,Guwahati,UpComing,,,,
17th  T20I,2433,2026-04-11,15:30,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,PCA Stadium,New Chandigarh,UpComing,,,,
18th  T20I,2434,2026-04-11,19:30,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Chennai,UpComing,,,,
19th  T20I,2435,2026-04-12,15:30,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,UpComing,,,,
20th  T20I,2436,2026-04-12,19:30,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,UpComing,,,,
