match_id,date,season,team1,team2,venue,toss_winner,toss_decision,t1_overall_wr,t2_overall_wr,t1_matches_played,t2_matches_played,t1_recent_wr,t2_recent_wr,t1_form5,t2_form5,h2h_t1_wr,t1_venue_wr,t2_venue_wr,toss_winner_is_t1,team1_won
1082591,2017-04-05,2017,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bengaluru,field,0.5409836065573771,0.5111111111111111,61,135,0.7,0.7,0.6,0.8,0.5,0.5909090909090909,0.3333333333333333,0,1
1082592,2017-04-06,2017,Rising Pune Supergiants,Mumbai Indians,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,field,0.35714285714285715,0.5714285714285714,14,140,0.4,0.6,0.4,0.4,0.5,0.0,1.0,1,1
1082593,2017-04-07,2017,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,field,0.5625,0.5230769230769231,16,130,0.4,0.4,0.4,0.4,1.0,0.4,0.5,0,0
1082594,2017-04-08,2017,Punjab Kings,Rising Pune Supergiants,Holkar Cricket Stadium,Punjab Kings,field,0.4621212121212121,0.4,132,15,0.3,0.4,0.2,0.4,0.5,1.0,0.5,1,1
1082595,2017-04-08,2017,Royal Challengers Bengaluru,Delhi Capitals,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,bat,0.5073529411764706,0.4307692307692308,136,130,0.7,0.4,0.8,0.4,0.6,0.5,0.5,1,1
1082596,2017-04-09,2017,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,0.5483870967741935,0.5294117647058824,62,17,0.7,0.4,0.6,0.4,1.0,0.6086956521739131,0.0,1,1
1082597,2017-04-09,2017,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,0.5673758865248227,0.5267175572519084,141,131,0.6,0.4,0.4,0.4,0.7222222222222222,0.6444444444444445,0.16666666666666666,1,1
1082598,2017-04-10,2017,Punjab Kings,Royal Challengers Bengaluru,Holkar Cricket Stadium,Royal Challengers Bengaluru,bat,0.46616541353383456,0.5109489051094891,133,137,0.3,0.7,0.2,0.8,0.5555555555555556,1.0,0.5,0,1
1082599,2017-04-11,2017,Rising Pune Supergiants,Delhi Capitals,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,field,0.375,0.42748091603053434,16,131,0.4,0.4,0.4,0.4,1.0,0.2,1.0,1,0
1082600,2017-04-12,2017,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai Indians,field,0.5704225352112676,0.5555555555555556,142,63,0.6,0.7,0.4,0.6,0.5,0.6521739130434783,0.0,1,1
1082601,2017-04-13,2017,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata Knight Riders,field,0.5227272727272727,0.4701492537313433,132,134,0.4,0.3,0.4,0.2,0.6842105263157895,0.6470588235294118,0.25,1,1
1082602,2017-04-14,2017,Royal Challengers Bengaluru,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,0.5072463768115942,0.5734265734265734,138,143,0.7,0.6,0.8,0.4,0.42105263157894735,0.5283018867924528,0.75,0,0
1082603,2017-04-14,2017,Gujarat Lions,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,Gujarat Lions,field,0.5,0.35294117647058826,18,17,0.4,0.4,0.4,0.4,1.0,0.3333333333333333,0.0,1,1
1082604,2017-04-15,2017,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,0.5263157894736842,0.546875,133,64,0.4,0.7,0.4,0.6,0.6666666666666666,0.6538461538461539,0.0,0,1
1082605,2017-04-15,2017,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,Delhi Capitals,bat,0.4318181818181818,0.4666666666666667,132,135,0.4,0.3,0.4,0.2,0.4444444444444444,0.3958333333333333,0.5,1,1
1082606,2017-04-16,2017,Mumbai Indians,Gujarat Lions,Wankhede Stadium,Mumbai Indians,field,0.5763888888888888,0.5263157894736842,144,19,0.6,0.4,0.4,0.4,0.0,0.6595744680851063,1.0,1,1
1082607,2017-04-16,2017,Royal Challengers Bengaluru,Rising Pune Supergiants,M Chinnaswamy Stadium,Royal Challengers Bengaluru,field,0.5035971223021583,0.3333333333333333,139,18,0.7,0.4,0.8,0.4,1.0,0.5185185185185185,0.0,1,0
1082608,2017-04-17,2017,Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Capitals,bat,0.43609022556390975,0.5298507462686567,133,134,0.4,0.4,0.4,0.4,0.4117647058823529,0.40816326530612246,0.5714285714285714,1,0
1082609,2017-04-17,2017,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,field,0.5384615384615384,0.4632352941176471,65,136,0.7,0.3,0.6,0.2,0.75,0.625,0.5714285714285714,0,1
1082610,2017-04-18,2017,Gujarat Lions,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,Gujarat Lions,field,0.5,0.5,20,140,0.4,0.7,0.4,0.8,0.3333333333333333,0.42857142857142855,0.0,1,0
1082611,2017-04-19,2017,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,0.5454545454545454,0.43283582089552236,66,134,0.7,0.4,0.6,0.4,0.625,0.64,0.8,1,1
1082612,2017-04-20,2017,Punjab Kings,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,field,0.45985401459854014,0.5793103448275863,137,145,0.3,0.6,0.2,0.4,0.5,1.0,0.5,0,0
