match_id,balls_per_over,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,registry,team1,team2,players_team1,players_team2,winner_wickets,outcome,eliminator,method,team1_active,team2_active,both_active,year,season_clean,team1_won,team2_won,no_result,toss_winner_is_team1,toss_winner_won
1082591,6,male,2017,2017-04-05,Indian Premier League,1.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bengaluru,field,Yuvraj Singh,"['AY Dandekar', 'NJ Llong']",['N Pandit'],['A Deshmukh'],['J Srinath'],Sunrisers Hyderabad,35.0,"people,Yuvraj Singh,1c914163",Sunrisers Hyderabad,Royal Challengers Bengaluru,"['DA Warner', 'S Dhawan', 'MC Henriques', 'Yuvraj Singh', 'DJ Hooda', 'BCJ Cutting', 'NV Ojha', 'Bipul Sharma', 'B Kumar', 'A Nehra', 'Rashid Khan']","['CH Gayle', 'Mandeep Singh', 'TM Head', 'KM Jadhav', 'SR Watson', 'Sachin Baby', 'STR Binny', 'S Aravind', 'TS Mills', 'YS Chahal', 'A Choudhary']",,,,,True,True,True,2017,2017,1,0,0,0,0
1082592,6,male,2017,2017-04-06,Indian Premier League,2.0,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,field,SPD Smith,"['A Nand Kishore', 'S Ravi']",['Navdeep Singh'],['VK Sharma'],['M Nayyar'],Rising Pune Supergiants,,"people,VK Sharma,a7a49df4",Rising Pune Supergiants,Mumbai Indians,"['AM Rahane', 'MA Agarwal', 'SPD Smith', 'BA Stokes', 'MS Dhoni', 'MK Tiwary', 'R Bhatia', 'DL Chahar', 'A Zampa', 'AB Dinda', 'Imran Tahir']","['PA Patel', 'JC Buttler', 'RG Sharma', 'N Rana', 'AT Rayudu', 'KH Pandya', 'KA Pollard', 'HH Pandya', 'TG Southee', 'MJ McClenaghan', 'JJ Bumrah']",7.0,,,,False,True,False,2017,2017,1,0,0,1,1
1082593,6,male,2017,2017-04-07,Indian Premier League,3.0,Saurashtra Cricket Association Stadium,Rajkot,Kolkata Knight Riders,field,CA Lynn,"['Nitin Menon', 'CK Nandan']",['K Srinivasan'],['YC Barde'],['V Narayan Kutty'],Kolkata Knight Riders,,"people,YK Pathan,3c6ffae8",Gujarat Lions,Kolkata Knight Riders,"['JJ Roy', 'BB McCullum', 'SK Raina', 'AJ Finch', 'KD Karthik', 'DR Smith', 'MS Gony', 'P Kumar', 'SB Jakati', 'DS Kulkarni', 'S Kaushik']","['G Gambhir', 'CA Lynn', 'RV Uthappa', 'MK Pandey', 'YK Pathan', 'SA Yadav', 'CR Woakes', 'PP Chawla', 'Kuldeep Yadav', 'SP Narine', 'TA Boult']",10.0,,,,False,True,False,2017,2017,0,1,0,0,1
1082594,6,male,2017,2017-04-08,Indian Premier League,4.0,Holkar Cricket Stadium,Indore,Punjab Kings,field,GJ Maxwell,"['AK Chaudhary', 'C Shamshuddin']",['R Pandit'],['KN Ananthapadmanabhan'],['Chinmay Sharma'],Punjab Kings,,"people,WP Saha,fe11caa6",Punjab Kings,Rising Pune Supergiants,"['HM Amla', 'M Vohra', 'WP Saha', 'AR Patel', 'GJ Maxwell', 'DA Miller', 'MP Stoinis', 'Swapnil Singh', 'MM Sharma', 'Sandeep Sharma', 'T Natarajan']","['AM Rahane', 'MA Agarwal', 'SPD Smith', 'BA Stokes', 'MS Dhoni', 'MK Tiwary', 'DT Christian', 'R Bhatia', 'RD Chahar', 'Imran Tahir', 'AB Dinda']",6.0,,,,True,False,False,2017,2017,1,0,0,1,1
1082595,6,male,2017,2017-04-08,Indian Premier League,5.0,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,bat,KM Jadhav,"['S Ravi', 'VK Sharma']",['Navdeep Singh'],['A Nand Kishore'],['J Srinath'],Royal Challengers Bengaluru,15.0,"people,Z Khan,91a4a398",Royal Challengers Bengaluru,Delhi Capitals,"['CH Gayle', 'SR Watson', 'Mandeep Singh', 'KM Jadhav', 'STR Binny', 'Vishnu Vinod', 'P Negi', 'Iqbal Abdulla', 'TS Mills', 'YS Chahal', 'B Stanlake']","['AP Tare', 'SW Billings', 'KK Nair', 'SV Samson', 'RR Pant', 'CH Morris', 'CR Brathwaite', 'PJ Cummins', 'A Mishra', 'S Nadeem', 'Z Khan']",,,,,True,True,True,2017,2017,1,0,0,1,1
1082596,6,male,2017,2017-04-09,Indian Premier League,6.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Rashid Khan,"['A Deshmukh', 'NJ Llong']",['N Pandit'],['AY Dandekar'],['M Nayyar'],Sunrisers Hyderabad,,"people,Yuvraj Singh,1c914163",Sunrisers Hyderabad,Gujarat Lions,"['DA Warner', 'S Dhawan', 'MC Henriques', 'Yuvraj Singh', 'DJ Hooda', 'BCJ Cutting', 'NV Ojha', 'Bipul Sharma', 'B Kumar', 'A Nehra', 'Rashid Khan']","['JJ Roy', 'BB McCullum', 'SK Raina', 'AJ Finch', 'KD Karthik', 'DR Smith', 'DS Kulkarni', 'P Kumar', 'Basil Thampi', 'Tejas Baroka', 'S Kaushik']",9.0,,,,True,False,False,2017,2017,1,0,0,1,1
1082597,6,male,2017,2017-04-09,Indian Premier League,7.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,N Rana,"['Nitin Menon', 'CK Nandan']",['K Srinivasan'],['YC Barde'],['S Chaturvedi'],Mumbai Indians,,"people,YK Pathan,3c6ffae8",Mumbai Indians,Kolkata Knight Riders,"['PA Patel', 'JC Buttler', 'N Rana', 'RG Sharma', 'KH Pandya', 'KA Pollard', 'HH Pandya', 'Harbhajan Singh', 'MJ McClenaghan', 'SL Malinga', 'JJ Bumrah']","['G Gambhir', 'CA Lynn', 'RV Uthappa', 'MK Pandey', 'YK Pathan', 'SA Yadav', 'CR Woakes', 'SP Narine', 'Kuldeep Yadav', 'AS Rajpoot', 'TA Boult']",4.0,,,,True,True,True,2017,2017,1,0,0,1,1
1082598,6,male,2017,2017-04-10,Indian Premier League,8.0,Holkar Cricket Stadium,Indore,Royal Challengers Bengaluru,bat,AR Patel,"['AK Chaudhary', 'C Shamshuddin']",['R Pandit'],['KN Ananthapadmanabhan'],['Chinmay Sharma'],Punjab Kings,,"people,YS Chahal,57ee1fde",Punjab Kings,Royal Challengers Bengaluru,"['M Vohra', 'HM Amla', 'AR Patel', 'GJ Maxwell', 'WP Saha', 'DA Miller', 'MP Stoinis', 'MM Sharma', 'Sandeep Sharma', 'VR Aaron', 'T Natarajan']","['SR Watson', 'Vishnu Vinod', 'AB de Villiers', 'KM Jadhav', 'Mandeep Singh', 'STR Binny', 'P Negi', 'Iqbal Abdulla', 'TS Mills', 'B Stanlake', 'YS Chahal']",8.0,,,,True,True,True,2017,2017,1,0,0,0,0
1082599,6,male,2017,2017-04-11,Indian Premier League,9.0,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,field,SV Samson,"['AY Dandekar', 'S Ravi']",['Navdeep Singh'],['A Nand Kishore'],['J Srinath'],Delhi Capitals,97.0,"people,Z Khan,91a4a398",Rising Pune Supergiants,Delhi Capitals,"['AM Rahane', 'MA Agarwal', 'F du Plessis', 'RA Tripathi', 'BA Stokes', 'MS Dhoni', 'R Bhatia', 'DL Chahar', 'A Zampa', 'AB Dinda', 'Imran Tahir']","['AP Tare', 'SW Billings', 'SV Samson', 'RR Pant', 'CJ Anderson', 'CH Morris', 'KK Nair', 'PJ Cummins', 'A Mishra', 'Z Khan', 'S Nadeem']",,,,,False,True,False,2017,2017,0,1,0,1,0
1082600,6,male,2017,2017-04-12,Indian Premier League,10.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,JJ Bumrah,"['Nitin Menon', 'CK Nandan']",['K Srinivasan'],['YC Barde'],['M Nayyar'],Mumbai Indians,,"people,Yuvraj Singh,1c914163",Mumbai Indians,Sunrisers Hyderabad,"['PA Patel', 'JC Buttler', 'RG Sharma', 'N Rana', 'KA Pollard', 'KH Pandya', 'HH Pandya', 'Harbhajan Singh', 'MJ McClenaghan', 'SL Malinga', 'JJ Bumrah']","['S Dhawan', 'DA Warner', 'DJ Hooda', 'Yuvraj Singh', 'BCJ Cutting', 'NV Ojha', 'V Shankar', 'Rashid Khan', 'B Kumar', 'A Nehra', 'Mustafizur Rahman']",4.0,,,,True,True,True,2017,2017,1,0,0,1,1
