player,innings,runs,balls_faced,fours,sixes,batting_avg,strike_rate,boundary_rate,batting_score
A Alexander,1,0,1,0,0,0.0,0.0,0.0,0.0
A Awasthi,5,11,50,0,0,2.2,22.0,0.0,0.48400000000000004
A Badoni,11,329,221,27,14,29.90909090909091,148.86877828054298,0.18552036199095023,44.525298231180585
A Beresford-Peirse,5,53,89,0,1,10.6,59.55056179775281,0.011235955056179775,6.312359550561798
A Busing-Volschenk,1,20,20,1,1,20.0,100.0,0.1,20.0
A Chenthamara,1,0,1,0,0,0.0,0.0,0.0,0.0
A Curavic,3,5,20,0,0,1.6666666666666667,25.0,0.0,0.41666666666666674
A Davidson Soler,3,47,33,2,1,15.666666666666666,142.42424242424244,0.09090909090909091,22.313131313131315
A Donovan,4,78,75,4,4,19.5,104.0,0.10666666666666667,20.28
A Dutt,3,22,16,2,1,7.333333333333333,137.5,0.1875,10.083333333333332
A Ferguson,3,29,30,4,0,9.666666666666666,96.66666666666667,0.13333333333333333,9.344444444444445
A Gbla,10,118,93,7,5,11.8,126.88172043010752,0.12903225806451613,14.972043010752689
A Husain,1,4,7,0,0,4.0,57.14285714285714,0.0,2.2857142857142856
A Kamboj,5,14,12,2,0,2.8,116.66666666666667,0.16666666666666666,3.266666666666667
A Kirschbaum,4,58,61,3,1,14.5,95.08196721311475,0.06557377049180328,13.78688524590164
A Magdalenic,4,6,23,0,0,1.5,26.08695652173913,0.0,0.391304347826087
A Manohar,5,61,61,2,4,12.2,100.0,0.09836065573770492,12.2
A Mhatre,7,240,127,31,11,34.285714285714285,188.9763779527559,0.33070866141732286,64.79190101237346
A Mongar,3,11,26,0,0,3.6666666666666665,42.30769230769231,0.0,1.551282051282051
A Nortje,2,13,15,0,1,6.5,86.66666666666667,0.06666666666666667,5.633333333333334
A Patmore,2,64,71,9,0,32.0,90.14084507042254,0.1267605633802817,28.845070422535215
A Raghuvanshi,11,300,214,30,8,27.272727272727273,140.18691588785046,0.17757009345794392,38.23279524214104
A Razmilic,5,5,18,1,0,1.0,27.77777777777778,0.05555555555555555,0.2777777777777778
A Sharafu,5,126,120,12,3,25.2,105.0,0.125,26.46
A Sharma,5,172,133,16,7,34.4,129.32330827067668,0.17293233082706766,44.487218045112776
A Shukla,1,10,5,1,1,10.0,200.0,0.4,20.0
A Zampa,4,11,16,0,0,2.75,68.75,0.0,1.890625
AA Rahayu,5,64,44,4,2,12.8,145.45454545454547,0.13636363636363635,18.61818181818182
AAP Rivero,3,22,29,1,0,7.333333333333333,75.86206896551724,0.034482758620689655,5.563218390804598
AB Kamara,10,166,153,6,8,16.6,108.49673202614379,0.0915032679738562,18.01045751633987
AD Russell,10,167,102,16,14,16.7,163.72549019607843,0.29411764705882354,27.342156862745096
AG Cremer,1,0,6,0,0,0.0,0.0,0.0,0.0
AGS Gous,2,19,22,2,1,9.5,86.36363636363636,0.13636363636363635,8.204545454545453
AJ Mosca,7,209,136,13,16,29.857142857142858,153.6764705882353,0.21323529411764705,45.88340336134454
AK Gokoel,3,43,53,1,0,14.333333333333334,81.13207547169812,0.018867924528301886,11.628930817610064
AK Markram,27,933,616,88,41,34.55555555555556,151.46103896103895,0.20941558441558442,52.33820346320346
AM Rahane,12,390,264,36,20,32.5,147.72727272727272,0.21212121212121213,48.01136363636363
AP Yadav,4,82,87,8,1,20.5,94.25287356321839,0.10344827586206896,19.32183908045977
AR Naidoo,3,78,67,4,3,26.0,116.4179104477612,0.1044776119402985,30.26865671641791
AR Odedara,1,1,2,0,0,1.0,50.0,0.0,0.5
AR Patel,18,328,229,26,17,18.22222222222222,143.23144104803492,0.18777292576419213,26.09995147986414
AS Roy,1,0,1,0,0,0.0,0.0,0.0,0.0
ASF Sirah,4,52,43,10,0,13.0,120.93023255813952,0.23255813953488372,15.720930232558137
AU Rashid,3,8,7,1,0,2.6666666666666665,114.28571428571428,0.14285714285714285,3.047619047619047
AV Lazarus,4,84,79,9,2,21.0,106.32911392405062,0.13924050632911392,22.32911392405063
Aamir Kaleem,4,61,42,7,2,15.25,145.23809523809524,0.21428571428571427,22.148809523809522
Aarif Sheikh,3,39,40,3,1,13.0,97.5,0.1,12.675
Aasif Sheikh,4,71,66,5,2,17.75,107.57575757575756,0.10606060606060606,19.09469696969697
Abdul Majid Abbasi,5,20,37,0,1,4.0,54.054054054054056,0.02702702702702703,2.1621621621621623
Abdul Samad,12,164,93,8,14,13.666666666666666,176.34408602150538,0.23655913978494625,24.100358422939067
Abdullah Mohd Yousaf,1,6,8,0,0,6.0,75.0,0.0,4.5
Abhishek Anand,4,101,62,10,7,25.25,162.90322580645162,0.27419354838709675,41.13306451612903
Abhishek Sharma,30,861,445,88,58,28.7,193.48314606741573,0.32808988764044944,55.52966292134832
Abishek Porel,13,301,205,28,12,23.153846153846153,146.8292682926829,0.1951219512195122,33.99662288930581
Abraar Khan,4,18,39,0,0,4.5,46.15384615384615,0.0,2.0769230769230766
Abrar Ahmed,1,0,1,0,0,0.0,0.0,0.0,0.0
Adnan Tahir,1,4,5,0,0,4.0,80.0,0.0,3.2
Agha Salman,11,241,139,25,13,21.90909090909091,173.3812949640288,0.2733812949640288,37.986265533028124
Ahmad Ramdoni,4,54,84,5,0,13.5,64.28571428571429,0.05952380952380952,8.678571428571429
Ahmed Faiz,5,62,77,4,2,12.4,80.51948051948052,0.07792207792207792,9.984415584415585
Ahmer Bin Nisar,13,298,206,31,11,22.923076923076923,144.6601941747573,0.20388349514563106,33.160567587752055
Aizaz Khan,3,16,12,3,0,5.333333333333333,133.33333333333331,0.25,7.11111111111111
