player,overs_bowled,runs_conceded,wickets,matches,economy,wicket_rate,dot_pct,bowling_score
A Alexander,7.0,34,3,2,4.857142857142857,0.42857142857142855,0.32539682539682535,0.7941176470588235
A Awasthi,4.0,72,1,2,18.0,0.25,-1.5000000000000004,0.125
A Beresford-Peirse,16.0,144,3,5,9.0,0.1875,-0.2500000000000002,0.1875
A Chenthamara,9.833333333333334,72,5,3,7.322033898305084,0.5084745762711864,-0.016949152542372836,0.625
A Dutt,13.0,89,5,4,6.846153846153846,0.38461538461538464,0.04914529914529908,0.5056179775280899
A Gbla,33.333333333333336,210,12,10,6.3,0.36,0.125,0.5142857142857142
A Husain,9.0,53,3,3,5.888888888888889,0.3333333333333333,0.18209876543209869,0.5094339622641508
A Kamboj,21.5,172,8,8,8.0,0.37209302325581395,-0.11111111111111116,0.41860465116279066
A Kirschbaum,11.0,39,4,3,3.5454545454545454,0.36363636363636365,0.5075757575757576,0.923076923076923
A Mongar,11.333333333333334,72,5,5,6.352941176470588,0.4411764705882353,0.11764705882352933,0.625
A Nortje,25.0,249,4,7,9.96,0.16,-0.3833333333333333,0.14457831325301204
A Razmilic,5.666666666666667,97,0,4,17.11764705882353,0.0,-1.3774509803921569,0.0
A Shukla,5.0,55,2,2,11.0,0.4,-0.5277777777777777,0.3272727272727273
A Wright,13.0,58,4,4,4.461538461538462,0.3076923076923077,0.3803418803418803,0.6206896551724138
A Zampa,33.333333333333336,278,15,9,8.34,0.44999999999999996,-0.15833333333333344,0.48561151079136683
AA Rahayu,23.0,107,12,8,4.6521739130434785,0.5217391304347826,0.3538647342995169,1.0093457943925233
AAP Rivero,14.0,87,3,4,6.214285714285714,0.21428571428571427,0.13690476190476186,0.3103448275862069
AB Kamara,24.0,170,9,10,7.083333333333333,0.375,0.01620370370370361,0.4764705882352942
AD Russell,18.166666666666668,211,8,9,11.614678899082568,0.4403669724770642,-0.6131498470948014,0.3412322274881517
AF Ifill,11.0,46,6,3,4.181818181818182,0.5454545454545454,0.4191919191919192,1.173913043478261
AG Cremer,14.0,124,3,4,8.857142857142858,0.21428571428571427,-0.23015873015873023,0.21774193548387094
AJ Hosein,28.0,253,10,9,9.035714285714286,0.35714285714285715,-0.25496031746031744,0.3557312252964427
AK Gokoel,12.833333333333334,78,2,4,6.077922077922078,0.15584415584415584,0.15584415584415579,0.23076923076923078
AK Markram,17.0,169,5,10,9.941176470588236,0.29411764705882354,-0.3807189542483662,0.2662721893491124
AR Patel,73.5,627,24,23,8.53061224489796,0.32653061224489793,-0.18480725623582783,0.34449760765550236
AS Roy,4.0,26,2,1,6.5,0.5,0.0972222222222221,0.6923076923076923
ASF Sirah,16.0,106,4,4,6.625,0.25,0.07986111111111105,0.33962264150943394
AU Rashid,42.666666666666664,311,18,11,7.2890625,0.421875,-0.01236979166666674,0.5209003215434084
Aamir Kaleem,4.0,28,1,1,7.0,0.25,0.02777777777777768,0.32142857142857145
Abdul Majid Abbasi,31.0,182,9,9,5.870967741935484,0.2903225806451613,0.1845878136200716,0.44505494505494503
Abdul Samad,9.333333333333334,47,5,3,5.035714285714286,0.5357142857142857,0.30059523809523814,0.9574468085106383
Abdullah Mohd Yousaf,6.0,52,1,2,8.666666666666666,0.16666666666666666,-0.20370370370370372,0.17307692307692307
Abdullahi Ismail,14.0,88,5,4,6.285714285714286,0.35714285714285715,0.12698412698412698,0.5113636363636364
