team,team_batting_score,team_bowling_score,team_batting_sr,team_bowling_econ,players_with_form
Chennai Super Kings,43.8185,0.5417,168.19,7.61,21.0
Delhi Capitals,42.5997,0.4964,155.27,8.45,18.0
Gujarat Titans,50.9292,0.372,153.03,9.08,14.0
Kolkata Knight Riders,39.4001,0.4939,149.91,8.2,18.0
Lucknow Super Giants,49.7444,0.5319,155.99,9.16,15.0
Mumbai Indians,50.6942,0.5181,160.58,8.24,17.0
Punjab Kings,47.2187,0.4039,163.95,8.5,18.0
Rajasthan Royals,54.958,0.3087,170.28,9.43,18.0
Royal Challengers Bengaluru,43.4034,0.6633,155.85,7.82,17.0
Sunrisers Hyderabad,47.8364,0.5737,170.55,8.32,15.0
